时代,分类,科技ID,科技名称,效果描述,效果数值,前置科技,历史背景
Age 1 明初重建,政治线,restore_imperial_examinations,恢复科举制,行政效率,+10%,无,明朝建立后恢复科举制度，选拔人才
Age 1 明初重建,政治线,reestablish_lijia_system,重建里甲制,距离首都成本修正,-5%,无,重建基层管理制度
Age 1 明初重建,政治线,establish_three_departments,设立三司,政府改革槽位,+1,无,设立布政使司、按察使司、都指挥使司
Age 1 明初重建,军事线,weisuo_system,卫所制度,人力修正,+10%,无,明朝军事制度，军屯结合
Age 1 明初重建,军事线,weisuo_system,卫所制度,陆军维护成本,-5%,无,明朝军事制度，军屯结合
Age 1 明初重建,军事线,firearm_production,火器制造,解锁单位,火铳,weisuo_system,明朝火器技术发展
Age 1 明初重建,经济线,restore_agriculture,恢复农业,食物产量,+10%,无,恢复农业生产
Age 1 明初重建,经济线,restore_handicrafts,重建手工业,手工业效率,+10%,restore_agriculture,恢复手工业生产
Age 1 明初重建,文化线,restore_examinations,恢复科举,识字率,+5%,无,恢复科举考试制度
Age 1 明初重建,文化线,neo_confucian_revival,理学复兴,文化影响力,+10%,restore_examinations,程朱理学成为官方思想
Age 1 明初重建,外交线,tributary_system,朝贡体系,附庸忠诚度,+10,无,建立朝贡外交体系
Age 1 明初重建,外交线,investiture_system,册封制度,外交声誉,+5,tributary_system,册封周边国家
Age 2 明中繁荣,政治线,grand_coordinators,巡抚制度,政府规模,+1,establish_three_departments,设立巡抚管理地方
Age 2 明中繁荣,政治线,grand_secretariat,内阁制度,内阁效率,+10%,grand_coordinators,设立内阁协助皇帝
Age 2 明中繁荣,政治线,single_whip_reform,一条鞭法,税收效率,+10%,grand_secretariat,张居正改革，统一赋役
Age 2 明中繁荣,军事线,divine_machine_division,神机营,火器效率,+10%,firearm_production,专门的火器部队
Age 2 明中繁荣,军事线,great_wall_fortifications,边墙建设,防御修正,+20%,divine_machine_division,加强长城防御
Age 2 明中繁荣,经济线,commercial_prosperity,商业繁荣,贸易效率,+15%,restore_handicrafts,商业发展
Age 2 明中繁荣,经济线,salt_monopoly,盐业专卖,盐产量,+20%,commercial_prosperity,盐业国家垄断
Age 2 明中繁荣,经济线,tea_horse_trade,茶马贸易,茶叶产量,+20%,commercial_prosperity,与边疆的茶马贸易
Age 2 明中繁荣,文化线,school_of_mind,心学兴起,思想活跃度,+15%,neo_confucian_revival,王阳明心学
Age 2 明中繁荣,文化线,novel_prosperity,小说繁荣,文化影响力,+10%,school_of_mind,四大名著等小说
Age 2 明中繁荣,文化线,opera_development,戏曲发展,文化影响力,+10%,novel_prosperity,戏曲艺术发展
Age 2 明中繁荣,文化线,opera_development,戏曲发展,艺术家数量,+1,novel_prosperity,戏曲艺术发展
Age 2 明中繁荣,外交线,zheng_he_voyages,郑和下西洋,探索范围,+20%,investiture_system,郑和七下西洋
Age 2 明中繁荣,外交线,maritime_prohibition,海禁政策,海上贸易,-50%,zheng_he_voyages,限制海上贸易
Age 2 明中繁荣,外交线,maritime_prohibition,海禁政策,安全,+10%,zheng_he_voyages,限制海上贸易
Age 3 明末变革,政治线,zhang_juzheng_reforms,张居正改革,行政效率,+15%,single_whip_reform,张居正全面改革
Age 3 明末变革,政治线,strengthen_censorate,都察院强化,王室地产权力,+10%,zhang_juzheng_reforms,加强监察制度
Age 3 明末变革,军事线,red_barbarian_cannon,红夷大炮,解锁单位,红夷大炮,great_wall_fortifications,引进西方大炮
Age 3 明末变革,军事线,qi_jiguang_training,戚家军训练法,陆军训练度,+15%,red_barbarian_cannon,戚继光军事改革
Age 3 明末变革,军事线,chariot_camp_tactics,车营战术,战术能力,+10%,qi_jiguang_training,车营战术体系
Age 3 明末变革,经济线,silver_standard,银本位制,银产量,+15%,salt_monopoly,白银成为主要货币
Age 3 明末变革,经济线,grand_canal_maintenance,大运河维护,繁荣度,+5%,silver_standard,维护大运河
Age 3 明末变革,经济线,grand_canal_maintenance,大运河维护,建筑成本,-2.5%,silver_standard,维护大运河
Age 3 明末变革,经济线,jingdezhen_porcelain,景德镇瓷器,瓷器产量,+10%,grand_canal_maintenance,景德镇瓷器发展
Age 3 明末变革,经济线,jingdezhen_porcelain,景德镇瓷器,文化影响力,+15%,grand_canal_maintenance,景德镇瓷器发展
Age 3 明末变革,文化线,practical_learning,实学思潮,科技研究速度,+15%,opera_development,经世致用思想
Age 3 明末变革,文化线,vernacular_literature,白话文学,最大识字率,+5,practical_learning,白话文学发展
Age 3 明末变革,文化线,movable_type_printing,活字印刷,威望,+10%,vernacular_literature,活字印刷技术
Age 3 明末变革,外交线,tusi_system,土司制度,叛乱阈值,-3%,maritime_prohibition,管理边疆土司
Age 3 明末变革,外交线,border_trade,边贸发展,边境贸易,+15%,tusi_system,发展边境贸易
Age 4 清初统一,政治线,grand_council,军机处,内阁效率,+15%,strengthen_censorate,清朝设立军机处
Age 4 清初统一,政治线,governor_general_system,督抚制度,政府规模,+1,grand_council,总督巡抚制度
Age 4 清初统一,政治线,tax_reform_qing,摊丁入亩,税收效率,+15%,governor_general_system,清朝税制改革
Age 4 清初统一,军事线,eight_banners_system,八旗制度,人力修正,+20%,chariot_camp_tactics,清朝八旗制度
Age 4 清初统一,军事线,eight_banners_system,八旗制度,陆军战斗力,+10%,chariot_camp_tactics,清朝八旗制度
Age 4 清初统一,军事线,green_standard_army,绿营制度,驻军规模,+20%,eight_banners_system,清朝绿营军
Age 4 清初统一,军事线,green_standard_army,绿营制度,步兵补充成本,-10%,eight_banners_system,清朝绿营军
Age 4 清初统一,军事线,firearms_division,火器营,火器效率,+15%,green_standard_army,专门的火器部队
Age 4 清初统一,经济线,tax_reform_qing_econ,摊丁入亩经济,税收效率,+10%,jingdezhen_porcelain,清朝税制改革
Age 4 清初统一,经济线,population_growth,人口增长,人力,+20%,tax_reform_qing_econ,清朝人口快速增长
Age 4 清初统一,文化线,cultural_integration,文化融合,文化接受度,+20%,movable_type_printing,满汉文化融合
Age 4 清初统一,文化线,kangxi_qianlong_culture,康乾文化,文化影响力,+15%,cultural_integration,康乾盛世文化
Age 4 清初统一,外交线,lifan_yuan,理藩院,对游牧民族外交效率,+15%,border_trade,管理蒙古等民族
Age 4 清初统一,外交线,territorial_expansion,疆域扩张,战争分数获取,+20%,lifan_yuan,清朝疆域扩张
Age 5 清中守成,政治线,memorial_system,奏折制度,行政效率,+10%,tax_reform_qing,奏折制度
Age 5 清中守成,政治线,secret_memorial_system,密折制度,信息收集,+10%,memorial_system,密折制度
Age 5 清中守成,军事线,ten_great_campaigns,十全武功,分离主义,-5%,firearms_division,乾隆十全武功
Age 5 清中守成,军事线,ten_great_campaigns,十全武功,战争分数成本,-5%,firearms_division,乾隆十全武功
Age 5 清中守成,军事线,jianrui_division,健锐营,山地作战能力,+10%,ten_great_campaigns,专门的山地部队
Age 5 清中守成,经济线,agricultural_improvements,农业技术改进,食物产量,+15%,population_growth,农业技术发展
Age 5 清中守成,经济线,handicraft_development,手工业发展,手工业效率,+20%,agricultural_improvements,手工业技术改进
Age 5 清中守成,文化线,textual_criticism,考据学,学术研究,+20%,kangxi_qianlong_culture,乾嘉考据学派
Age 5 清中守成,文化线,complete_library,四库全书,文化影响力,+25%,textual_criticism,编纂四库全书
Age 5 清中守成,外交线,closed_door_policy,闭关锁国,对外贸易,-30%,territorial_expansion,限制对外贸易
Age 5 清中守成,外交线,closed_door_policy,闭关锁国,内部稳定,+15%,territorial_expansion,限制对外贸易
Age 5 清中守成,外交线,thirteen_hongs,广州十三行,对外贸易,+20%,closed_door_policy,仅限广州对外贸易
Age 6 清末变革,政治线,zongli_yamen,总理衙门,外交效率,+20%,secret_memorial_system,设立总理衙门
Age 6 清末变革,政治线,new_policy_reforms,新政改革,行政效率,+20%,zongli_yamen,清末新政
Age 6 清末变革,军事线,new_army,新式陆军,陆军训练度,+25%,jianrui_division,编练新军
Age 6 清末变革,军事线,beiyang_fleet,北洋水师,解锁单位,现代海军,new_army,建立北洋水师
Age 6 清末变革,军事线,military_academies,军事学堂,军官质量,+20%,beiyang_fleet,建立军事学堂
Age 6 清末变革,经济线,self_strengthening,洋务运动,工业效率,+25%,handicraft_development,洋务运动
Age 6 清末变革,经济线,modern_industry,近代工业,解锁建筑,工厂,self_strengthening,建立近代工业
Age 6 清末变革,经济线,railway_construction,铁路建设,移动速度,+30%,modern_industry,修建铁路
Age 6 清末变革,文化线,western_learning,西学东渐,科技研究速度,+30%,complete_library,学习西方科技
Age 6 清末变革,文化线,modern_education,新式教育,识字率,+20%,western_learning,建立新式学堂
Age 6 清末变革,文化线,enlightenment,思想启蒙,思想活跃度,+25%,modern_education,思想启蒙运动
Age 6 清末变革,外交线,treaty_ports,开埠通商,对外贸易,+30%,thirteen_hongs,开放通商口岸
Age 6 清末变革,外交线,zongli_yamen_dip,总理衙门外交,外交效率,+20%,treaty_ports,总理衙门处理外交
Age 6 清末变革,外交线,unequal_treaties,不平等条约,主权,-20%,zongli_yamen_dip,签订不平等条约
Age 6 清末变革,外交线,unequal_treaties,不平等条约,对外贸易,+15%,zongli_yamen_dip,签订不平等条约


